Freq.	V(n004)*I(R_load)		
2.48E+04	-1.08E-03	4.98E-04	0.001186738
2.49E+04	-1.11E-03	5.19E-04	0.001229328
2.50E+04	-1.15E-03	5.41E-04	0.001273431
2.51E+04	-1.19E-03	5.65E-04	0.001319104
2.52E+04	-1.23E-03	5.89E-04	0.001366403
2.53E+04	-1.28E-03	6.14E-04	0.001415388
2.54E+04	-1.32E-03	6.40E-04	0.001466122
2.55E+04	-1.36E-03	6.67E-04	0.001518668
2.56E+04	-1.41E-03	6.96E-04	0.001573094
2.57E+04	-1.46E-03	7.26E-04	0.00162947
2.58E+04	-1.51E-03	7.57E-04	0.001687868
2.59E+04	-1.56E-03	7.89E-04	0.001748363
2.60E+04	-1.61E-03	8.23E-04	0.001811035
2.61E+04	-1.67E-03	8.58E-04	0.001875964
2.62E+04	-1.73E-03	8.95E-04	0.001943236
2.63E+04	-1.78E-03	9.33E-04	0.002012939
2.64E+04	-1.84E-03	9.73E-04	0.002085165
2.65E+04	-1.91E-03	1.01E-03	0.002160009
2.66E+04	-1.97E-03	1.06E-03	0.002237572
2.67E+04	-2.04E-03	1.10E-03	0.002317957
2.68E+04	-2.11E-03	1.15E-03	0.002401272
2.69E+04	-2.18E-03	1.20E-03	0.002487631
2.70E+04	-2.25E-03	1.25E-03	0.002577149
2.71E+04	-2.33E-03	1.31E-03	0.00266995
2.72E+04	-2.41E-03	1.36E-03	0.00276616
2.73E+04	-2.49E-03	1.42E-03	0.002865913
2.74E+04	-2.57E-03	1.48E-03	0.002969347
2.75E+04	-2.66E-03	1.55E-03	0.003076606
2.76E+04	-2.75E-03	1.61E-03	0.00318784
2.77E+04	-2.84E-03	1.68E-03	0.003303208
2.78E+04	-2.94E-03	1.76E-03	0.003422872
2.79E+04	-3.04E-03	1.83E-03	0.003547003
2.80E+04	-3.14E-03	1.91E-03	0.00367578
2.81E+04	-3.25E-03	1.99E-03	0.003809389
2.82E+04	-3.36E-03	2.08E-03	0.003948025
2.83E+04	-3.47E-03	2.17E-03	0.00409189
2.84E+04	-3.59E-03	2.27E-03	0.004241196
2.85E+04	-3.71E-03	2.36E-03	0.004396166
2.86E+04	-3.83E-03	2.47E-03	0.00455703
2.87E+04	-3.96E-03	2.58E-03	0.00472403
2.88E+04	-4.09E-03	2.69E-03	0.00489742
2.89E+04	-4.23E-03	2.81E-03	0.005077464
2.90E+04	-4.37E-03	2.93E-03	0.005264439
2.91E+04	-4.52E-03	3.06E-03	0.005458634
2.92E+04	-4.67E-03	3.20E-03	0.005660351
2.93E+04	-4.83E-03	3.34E-03	0.005869908
2.94E+04	-4.99E-03	3.49E-03	0.006087637
2.95E+04	-5.16E-03	3.64E-03	0.006313885
2.96E+04	-5.33E-03	3.80E-03	0.006549015
2.97E+04	-5.51E-03	3.97E-03	0.006793409
2.98E+04	-5.69E-03	4.15E-03	0.007047466
2.99E+04	-5.88E-03	4.34E-03	0.007311605
3.00E+04	-6.08E-03	4.53E-03	0.007586265
3.01E+04	-6.29E-03	4.74E-03	0.007871905
3.02E+04	-6.50E-03	4.95E-03	0.008169009
3.03E+04	-6.71E-03	5.18E-03	0.008478082
3.04E+04	-6.94E-03	5.41E-03	0.008799656
3.05E+04	-7.17E-03	5.66E-03	0.00913429
3.06E+04	-7.41E-03	5.92E-03	0.009482569
3.07E+04	-7.66E-03	6.19E-03	0.009845108
3.08E+04	-7.91E-03	6.47E-03	0.010222554
3.09E+04	-8.18E-03	6.77E-03	0.010615586
3.10E+04	-8.45E-03	7.08E-03	0.011024918
3.11E+04	-8.73E-03	7.41E-03	0.011451302
3.12E+04	-9.02E-03	7.76E-03	0.011895528
3.13E+04	-9.32E-03	8.12E-03	0.012358426
3.14E+04	-9.63E-03	8.50E-03	0.012840871
3.15E+04	-9.94E-03	8.90E-03	0.013343785
3.16E+04	-1.03E-02	9.32E-03	0.013868138
3.17E+04	-1.06E-02	9.76E-03	0.01441495
3.18E+04	-1.10E-02	1.02E-02	0.0149853
3.19E+04	-1.13E-02	1.07E-02	0.015580322
3.20E+04	-1.17E-02	1.12E-02	0.016201212
3.21E+04	-1.21E-02	1.18E-02	0.016849234
3.22E+04	-1.25E-02	1.23E-02	0.01752572
3.23E+04	-1.29E-02	1.29E-02	0.018232075
3.24E+04	-1.33E-02	1.35E-02	0.018969784
3.25E+04	-1.37E-02	1.42E-02	0.019740415
3.26E+04	-1.42E-02	1.49E-02	0.020545625
3.27E+04	-1.46E-02	1.56E-02	0.021387166
3.28E+04	-1.51E-02	1.64E-02	0.022266887
3.29E+04	-1.56E-02	1.72E-02	0.023186749
3.30E+04	-1.61E-02	1.80E-02	0.024148822
3.31E+04	-1.66E-02	1.89E-02	0.025155299
3.32E+04	-1.71E-02	1.99E-02	0.026208502
3.33E+04	-1.76E-02	2.09E-02	0.027310891
3.34E+04	-1.82E-02	2.19E-02	0.02846507
3.35E+04	-1.87E-02	2.30E-02	0.029673801
3.36E+04	-1.93E-02	2.42E-02	0.030940012
3.37E+04	-1.99E-02	2.54E-02	0.032266808
3.38E+04	-2.04E-02	2.67E-02	0.033657485
3.39E+04	-2.10E-02	2.81E-02	0.035115539
3.40E+04	-2.17E-02	2.96E-02	0.036644683
3.41E+04	-2.23E-02	3.11E-02	0.038248863
3.42E+04	-2.29E-02	3.27E-02	0.039932267
3.43E+04	-2.35E-02	3.44E-02	0.041699349
3.44E+04	-2.42E-02	3.62E-02	0.043554845
3.45E+04	-2.48E-02	3.82E-02	0.04550379
3.46E+04	-2.54E-02	4.02E-02	0.047551541
3.47E+04	-2.61E-02	4.23E-02	0.049703799
3.48E+04	-2.67E-02	4.46E-02	0.051966634
3.49E+04	-2.73E-02	4.70E-02	0.054346508
3.50E+04	-2.79E-02	4.95E-02	0.056850302
3.51E+04	-2.85E-02	5.22E-02	0.05948535
3.52E+04	-2.91E-02	5.50E-02	0.062259465
3.53E+04	-2.97E-02	5.80E-02	0.065180973
3.54E+04	-3.02E-02	6.12E-02	0.068258754
3.55E+04	-3.07E-02	6.46E-02	0.071502269
3.56E+04	-3.11E-02	6.82E-02	0.074921613
3.57E+04	-3.15E-02	7.19E-02	0.078527547
3.58E+04	-3.18E-02	7.60E-02	0.082331548
3.59E+04	-3.20E-02	8.02E-02	0.086345857
3.60E+04	-3.21E-02	8.47E-02	0.090583526
3.61E+04	-3.22E-02	8.95E-02	0.095058475
3.62E+04	-3.21E-02	9.45E-02	0.099785541
3.63E+04	-3.18E-02	9.98E-02	0.104780542
3.64E+04	-3.14E-02	1.05E-01	0.110060329
3.65E+04	-3.09E-02	1.11E-01	0.115642853
3.66E+04	-3.01E-02	1.18E-01	0.121547221
3.67E+04	-2.90E-02	1.24E-01	0.127793761
3.68E+04	-2.77E-02	1.32E-01	0.134404084
3.69E+04	-2.61E-02	1.39E-01	0.141401139
3.70E+04	-2.41E-02	1.47E-01	0.148809276
3.71E+04	-2.18E-02	1.55E-01	0.156654292
3.72E+04	-1.89E-02	1.64E-01	0.164963476
3.73E+04	-1.56E-02	1.73E-01	0.173765649
3.74E+04	-1.17E-02	1.83E-01	0.183091179
3.75E+04	-7.20E-03	1.93E-01	0.192971989
3.76E+04	-1.97E-03	2.03E-01	0.20344154
3.77E+04	4.07E-03	2.14E-01	0.214534785
3.78E+04	1.10E-02	2.26E-01	0.226288091
3.79E+04	1.89E-02	2.38E-01	0.238739122
3.80E+04	2.79E-02	2.50E-01	0.251926662
3.81E+04	3.81E-02	2.63E-01	0.265890389
3.82E+04	4.96E-02	2.76E-01	0.280670569
3.83E+04	6.26E-02	2.90E-01	0.296307668
3.84E+04	7.72E-02	3.03E-01	0.31284186
3.85E+04	9.36E-02	3.17E-01	0.330312425
3.86E+04	1.12E-01	3.30E-01	0.34875702
3.87E+04	1.32E-01	3.44E-01	0.368210788
3.88E+04	1.55E-01	3.57E-01	0.388705329
3.89E+04	1.79E-01	3.69E-01	0.410267474
3.90E+04	2.07E-01	3.80E-01	0.432917887
3.91E+04	2.37E-01	3.91E-01	0.456669478
3.92E+04	2.69E-01	3.99E-01	0.481525622
3.93E+04	3.04E-01	4.06E-01	0.507478218
3.94E+04	3.42E-01	4.11E-01	0.534505597
3.95E+04	3.83E-01	4.12E-01	0.562570327
3.96E+04	4.26E-01	4.11E-01	0.591616999
3.97E+04	4.71E-01	4.05E-01	0.621570048
3.98E+04	5.19E-01	3.95E-01	0.652331753
3.99E+04	5.68E-01	3.81E-01	0.683780531
4.00E+04	6.18E-01	3.60E-01	0.715769695
4.01E+04	6.69E-01	3.35E-01	0.748126835
4.02E+04	7.20E-01	3.02E-01	0.780654014
4.03E+04	7.69E-01	2.64E-01	0.813128932
4.04E+04	8.17E-01	2.18E-01	0.845307207
4.05E+04	8.61E-01	1.66E-01	0.876925862
4.06E+04	9.01E-01	1.08E-01	0.907708044
4.07E+04	9.36E-01	4.34E-02	0.937368915
4.08E+04	9.65E-01	-2.66E-02	0.965622545
4.09E+04	9.87E-01	-1.01E-01	0.992189564
4.10E+04	1.00E+00	-1.80E-01	1.016805194
4.11E+04	1.01E+00	-2.61E-01	1.039227261
4.12E+04	1.00E+00	-3.43E-01	1.059243698
4.13E+04	9.89E-01	-4.25E-01	1.076679099
4.14E+04	9.67E-01	-5.06E-01	1.091399911
4.15E+04	9.36E-01	-5.84E-01	1.103317935
4.16E+04	8.97E-01	-6.58E-01	1.112391966
4.17E+04	8.50E-01	-7.27E-01	1.118627506
4.18E+04	7.97E-01	-7.90E-01	1.122074652
